
 Lista de Imýveis da Caixa;;Data de geraýýo:;27/08/2026;;;;;;;
 Ný do imývel;UF;Cidade;Bairro;Endereýo;Preýo;Valor de avaliaýýo;Desconto;Financiamento;Descriýýo;Modalidade de venda;Link de acesso

 10309360 ;PR ;ARAUCARIA ;BOQUEIRAO ;RUA LINCOLN SETEMBRINO COIMBRA, N. 00, QD 1, LT 11 ;427.000,00;427.000,00;0.00;Sim;Terreno, 0.00 de ýrea total, 0.00 de ýrea privativa, 456.00 de ýrea do terreno.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10309360
 8787713347418 ;PR ;ARAUCARIA ;IGUACU ;RUA PARANAVAI, N. 100, Apto 204, BLOCO B 2ý PAVIMENTO ;244.265,74;244.265,74;0.00;Nýo;Apartamento, 52.70 de ýrea total, 46.68 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713347418
 8787701234184 ;PR ;ARAUCARIA ;PASSAUNA ;RUA LOURENCO JANKOWSKI, N. 88, RESIDENCIA 30 ;260.000,00;260.000,00;0.00;Nýo;Casa, 48.00 de ýrea total, 48.00 de ýrea privativa, 96.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701234184
 8444421380811 ;PR ;ARAUCARIA ;COSTEIRA ;RUA MINAS GERAIS, N. 985, Apto 207, BLOCO 13, 2ý PAVIMENTO  VAGA 455 ;186.000,00;186.000,00;0.00;Nýo;Apartamento, 51.80 de ýrea total, 46.23 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421380811
 8555524044050 ;PR ;ARAUCARIA ;COSTEIRA ;RUA MINAS GERAIS, N. 985, Apto 204, BLOCO 11 4ý PAVIVEMNTO VAGA 318 ;250.000,00;250.000,00;0.00;Nýo;Apartamento, 53.13 de ýrea total, 47.43 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555524044050
 8555527547843 ;PR ;ARAUCARIA ;COSTEIRA ;RUA MINAS GERAIS, N. 985, Apto 105,  BL 13 ;192.000,00;192.000,00;0.00;Nýo;Apartamento, 54.59 de ýrea total, 48.73 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555527547843
 8555533363449 ;PR ;ARAUCARIA ;COSTEIRA ;RUA MINAS GERAIS, N. 985, Apto 202, BL 18 VG 496 ;177.000,00;177.000,00;0.00;Nýo;Apartamento, 0.00 de ýrea total, 46.24 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555533363449
 1555532145873 ;PR ;ARAUCARIA ;CACHOEIRA ;RUA CEARA, N. 451, Apto 208, 2 PV  VG 21 ;250.000,00;250.000,00;0.00;Nýo;Apartamento, 55.06 de ýrea total, 42.84 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555532145873
 8787703546892 ;PR ;ARAUCARIA ;CACHOEIRA ;RUA JOSE TULIO, N. 174, Apto 404, BL 09 VAGA 153 VAGA M11 ;244.000,00;244.000,00;0.00;Nýo;Apartamento, 46.35 de ýrea total, 38.40 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703546892
 8555537414927 ;PR ;ARAUCARIA ;CAPELA VELHA ;TRAVESSA GREEN VILLAGE, N. 40, Apto AP 30, BL 16 ;195.000,00;195.000,00;0.00;Nýo;Apartamento, 59.10 de ýrea total, 50.28 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537414927
 8787700356782 ;PR ;ARAUCARIA ;CAPELA VELHA ;RUA YOSHIAKI NAGANO, N. 510, Apto 402, BLOCO 3  3 ANDAR OU 4 PAV. VAGA 196N ;234.957,85;234.957,85;0.00;Nýo;Apartamento, 47.93 de ýrea total, 42.75 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700356782
 8787708431163 ;PR ;ARAUCARIA ;CAPELA VELHA ;RUA DAS PALMEIRAS, N. 670, Apto 401, BL 1B VAGA 91 ;238.000,00;238.000,00;0.00;Nýo;Apartamento, 47.14 de ýrea total, 38.40 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708431163
 8787708492456 ;PR ;ARAUCARIA ;CAPELA VELHA ;RUA DAS PALMEIRAS, N. 670, Apto 203, BLOCO 1A, 2ý PAVIMENTO VAGA 68 ;243.000,00;243.000,00;0.00;Nýo;Apartamento, 47.20 de ýrea total, 38.40 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708492456
 8444412479622 ;PR ;ARAUCARIA ;CAMPINA DA BARRA ;RUA HORTENSIA, N. 1164, Apto APT 1, J14 ;277.650,00;277.650,00;0.00;Nýo;Apartamento, 68.53 de ýrea total, 60.99 de ýrea privativa, 0.00 de ýrea do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412479622
 1444410233237 ;PR ;ARAUCARIA ;CAMPINA DA BARRA ;RUA DAS FLORES, N. 1028, Apto 04, PAVIMENTO 1 ;351.770,25;347.117,22;0.00;Nýo;Apartamento, 106.53 de ýrea total, 72.91 de ýrea privativa, 0.00 de ýrea do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444410233237
 8444432638106 ;PR ;ARAUCARIA ;COSTEIRA ;RUA ALFREDO VOSS, N. 84, Apto 301, SEGUNDO PAVIMENTO VAGA 02 ;449.112,56;421.402,16;0.00;Nýo;Apartamento, 81.57 de ýrea total, 76.14 de ýrea privativa, 0.00 de ýrea do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432638106
 8787718793041 ;PR ;ARAUCARIA ;TINDIQUERA ;RUA MARCELINO JASINSKI, N. 800, Apto 303, BL 02 VAGA 37 ;218.416,09;197.000,00;0.00;Nýo;Apartamento, 43.52 de ýrea total, 40.82 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718793041
 10306962 ;PR ;ARAUCARIA ;ESTACAO ;AVENIDA DAS NAýýES, N. 00, LT D1 ;1.418.463,08;350.000,00;0.00;Sim;Terreno, 0.00 de ýrea total, 0.00 de ýrea privativa, 385.62 de ýrea do terreno.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10306962
 10286371 ;PR ;ASSAI ;PARQUE RESID. IKEDA ;RUA LOURENýO MONTEIRO, N. 00, QD 11, LT 15 ;209.998,82;132.342,41;0.00;Nýo;Terreno, 0.00 de ýrea total, 0.00 de ýrea privativa, 360.00 de ýrea do terreno.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10286371
 10286372 ;PR ;ASSAI ;PARQUE RESID. IKEDA ;RUA BENONE FELIX PESSOA, N. 00, QD 10, LT 17 ;209.998,82;132.342,41;0.00;Nýo;Terreno, 0.00 de ýrea total, 0.00 de ýrea privativa, 360.00 de ýrea do terreno.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10286372
 10286373 ;PR ;ASSAI ;PARQUE RESID. IKEDA ;RUA LOURENýO MONTEIRO, N. 00, QD 11, LT 18 ;209.998,82;132.342,41;0.00;Nýo;Terreno, 0.00 de ýrea total, 0.00 de ýrea privativa, 360.00 de ýrea do terreno.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10286373
 10286374 ;PR ;ASSAI ;PARQUE RESID. IKEDA ;RUA LOURENýO MONTEIRO, N. 00, QD 11, LT 17 ;209.998,82;132.342,41;0.00;Nýo;Terreno, 0.00 de ýrea total, 0.00 de ýrea privativa, 360.00 de ýrea do terreno.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10286374
 10286382 ;PR ;ASSAI ;PARQUE RESID. IKEDA ;BENONE FELIX PESSOA, N. 00, QD 10, LT 18 ;209.998,82;132.342,41;0.00;Nýo;Terreno, 0.00 de ýrea total, 0.00 de ýrea privativa, 360.00 de ýrea do terreno.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10286382
